view,period_type,period,source_tool,panel_id,index_scope,std_competency,domain,n,stacking_status,reliability_flags,panel_n_competencies,metric,value,n_distinct_scores,band_source
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,4.0,percentile_within_panel,25.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,4.0,rank_within_panel,4.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,pct_students_cleared,55.55555555555556,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,z_within_panel,-0.719290649082843,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,percentile_within_panel,50.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,rank_within_panel,3.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,pct_students_cleared,85.18518518518519,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,z_within_panel,0.5212466913156841,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,percentile_within_panel,75.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,rank_within_panel,2.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,pct_students_cleared,93.82716049382715,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,z_within_panel,1.1293678311839803,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,percentile_within_panel,100.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,rank_within_panel,1.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,pct_students_cleared,55.55555555555556,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,z_within_panel,-1.5637400739470495,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,percentile_within_panel,25.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,4.0,rank_within_panel,4.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,pct_students_cleared,76.5432098765432,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,z_within_panel,-0.08687444855261402,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,percentile_within_panel,50.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|numeracy,numeracy,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,4.0,rank_within_panel,3.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,8.0,pct_students_cleared,81.48148148148148,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,8.0,z_within_panel,0.39046016941021905,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,8.0,percentile_within_panel,62.5,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,8.0,rank_within_panel,4.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,8.0,pct_students_cleared,100.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,8.0,z_within_panel,1.3972873588644483,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,8.0,percentile_within_panel,100.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,8.0,rank_within_panel,1.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,8.0,pct_students_cleared,46.25,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,8.0,z_within_panel,-1.5250285585264522,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,8.0,percentile_within_panel,12.5,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,8.0,rank_within_panel,8.0,,
